"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"mladost podgorica","2003-04","second league","11","0","0","0","-","-","11","0"
"mladost podgorica","2004-05","second league","20","0","-","-","20","0","none","none"
"mladost podgorica","2005-06","serbian league","0","0","0","0","-","-","0","0"
"mladost podgorica","total","total","31","0","0","0","-","-","31","0"
"zeta","2005-06","first league","10","0","0","0","-","-","10","0"
"zeta","2006-07","montenegrin first league","29","8","0","0","-","-","29","8"
"zeta","2007-08","montenegrin first league","3","0","0","0","4","1","7","1"
"zeta","total","total","42","8","0","0","4","1","46","9"
"partizan belgrade","2007-08","serbian superliga","6","0","0","0","-","-","6","0"
"partizan belgrade","total","total","6","0","0","0","-","-","6","0"
"mogren","2008-09","montenegrin first league","28","7","0","0","-","-","28","7"
"mogren","2009-10","montenegrin first league","29","3","0","0","4","2","33","5"
"mogren","2010-11","montenegrin first league","29","8","3","2","4","1","36","11"
"mogren","total","total","84","18","3","2","8","3","97","23"
"jagiellonia białystok","2011-12","ekstraklasa","19","0","1","0","-","-","20","0"
"jagiellonia białystok","total","total","19","0","1","0","-","-","20","0"
"buriram united","2012","thai premier league","11","1","0","0","-","-","11","1"
"buriram united","total","total","11","1","0","0","-","-","11","1"
"podbeskidzie","2012-13","ekstraklasa","9","0","0","0","-","-","9","0"
"podbeskidzie","total","total","9","0","0","0","-","-","9","0"
"buducnost podgorica","2013-14","montenegrin first league","28","6","0","0","-","-","28","6"
"buducnost podgorica","2014-15","montenegrin first league","-","-","2","0","2","0","none","none"
"buducnost podgorica","total","total","28","6","0","0","2","0","30","6"
"laci","2014-15","albanian superliga","29","8","6","2","-","-","35","10"
"laci","2015-16","albanian superliga","16","3","5","1","0","0","21","5"
"laci","total","total","45","11","11","4","0","0","56","15"
"sarajevo","2016-17","premijer liga","10","1","1","0","-","-","11","1"
"sarajevo","total","total","10","1","1","0","-","-","11","1"
"partizani tirana","2016-17","albanian superliga","0","0","-","-","0","0","none","none"
"partizani tirana","total","total","0","0","-","-","0","0","none","none"
"career total","career total","career total","285","45","16","6","14","4","315","55"
