"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2009","new york giants","14","6","47","790","16.8","68t","6","2","8","4.0","9","0","2","0"
"2010","new york giants","13","12","79","1,052","13.3","46t","11","-","-","-","-","-","1","0"
"2011","new york giants","15","15","76","1,192","15.7","68","7","-","-","-","-","-","-","-"
"2012","new york giants","13","11","53","692","13.1","50","3","-","-","-","-","-","-","-"
"2013","new york giants","15","15","56","896","16.0","57","0","-","-","-","-","-","-","-"
"2014","indianapolis colts","16","6","38","405","10.7","29","4","-","-","-","-","-","-","-"
"2015","new york giants","6","2","7","54","7.7","19","0","none","none","none","none","none","none","none"
"none","total","92","67","356","5,081","14.3","68","31","2","8","4.0","9","0","3","0"
