"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"juve stabia","2010-11","lega pro","8","0","0","0","-","-","8","0","none","none"
"virtus lanciano","2011-12","lega pro","33","15","3","1","-","-","36","16","none","none"
"sassuolo","2012-13","serie b","33","11","2","0","-","-","35","11","none","none"
"sassuolo","2013-14","serie a","2","0","1","1","-","-","3","1","none","none"
"varese","2013-14","serie b","36","20","1","0","-","2","4","39","24","none"
"sassuolo","2014-15","serie a","9","1","3","0","-","-","12","1","none","none"
"sassuolo","total","total","44","12","6","1","0","0","0","0","50","13"
"genoa","2014-15","serie a","10","6","0","0","-","-","10","6","none","none"
"genoa","2015-16","serie a","25","14","1","1","-","-","26","15","none","none"
"genoa","2016-17","serie a","9","3","1","1","-","-","10","4","none","none"
"genoa","total","total","44","23","2","2","0","0","0","0","46","25"
"napoli","2016-17","serie a","6","0","4","0","-","-","10","0","none","none"
"cagliari","2017-18","serie a","33","11","0","0","-","-","33","11","none","none"
"cagliari","2018-19","serie a","26","12","2","2","-","-","28","14","none","none"
"cagliari","total","total","59","23","2","2","0","0","0","0","61","25"
"career total","career total","career total","230","93","18","6","0","0","2","4","250","103"
