"team","none","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason"
"team","year","won","lost","ties","win %","finish","won","lost","win %","result"
"cin","2003","8","8","0",".500","2nd in afc north","none","none","none","none"
"cin","2004","8","8","0",".500","3rd in afc north","none","none","none","none"
"cin","2005","11","5","0",".688","1st in afc north","0","1",".000","lost to pittsburgh steelers in afc wild card game"
"cin","2006","8","8","0",".500","2nd in afc north","none","none","none","none"
"cin","2007","7","9","0",".438","3rd in afc north","none","none","none","none"
"cin","2008","4","11","1",".281","3rd in afc north","none","none","none","none"
"cin","2009","10","6","0",".625","1st in afc north","0","1",".000","lost to new york jets in afc wild card game"
"cin","2010","4","12","0",".250","4th in afc north","none","none","none","none"
"cin","2011","9","7","0",".563","3rd in afc north","0","1",".000","lost to houston texans in afc wild card game"
"cin","2012","10","6","0",".625","2nd in afc north","0","1",".000","lost to houston texans in afc wild card game"
"cin","2013","11","5","0",".688","1st in afc north","0","1",".000","lost to san diego chargers in afc wild card game"
"cin","2014","10","5","1",".656","2nd in afc north","0","1",".000","lost to indianapolis colts in afc wild card game"
"cin","2015","12","4","0",".750","1st in afc north","0","1",".000","lost to pittsburgh steelers in afc wild card game"
"cin","2016","6","9","1",".406","3rd in afc north","none","none","none","none"
"cin","2017","7","9","0",".438","3rd in afc north","none","none","none","none"
"cin","2018","6","10","0",".375","4th in afc north","none","none","none","none"
"total","total","131","122","3",".518","none","0","7",".000","none"
