"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals"
"nice","2007-08","ligue 1","20","1","2","0","-","-","22","1"
"nice","2008-09","ligue 1","22","2","5","2","-","-","27","4"
"nice","total","total","42","3","7","2","-","-","49","5"
"angers","2009-10","ligue 2","37","20","3","0","-","-","40","20"
"bordeaux","2010-11","ligue 1","37","10","4","2","-","-","41","12"
"bordeaux","2011-12","ligue 1","15","3","2","0","-","-","17","3"
"bordeaux","total","total","52","13","6","2","-","-","58","15"
"blackburn rovers","2011-12","premier league","9","0","0","0","-","-","9","0"
"bastia","2012-13","ligue 1","36","15","2","2","-","-","38","17"
"hoffenheim","2013-14","bundesliga","29","12","4","2","-","-","33","14"
"hoffenheim","2014-15","bundesliga","26","7","3","2","-","-","29","9"
"hoffenheim","total","total","55","19","7","4","-","-","62","23"
"koln","2015-16","bundesliga","34","15","2","3","-","-","36","18"
"koln","2016-17","bundesliga","34","25","3","2","-","-","37","27"
"koln","total","total","68","40","5","5","-","-","73","45"
"tianjin quanjian","2017","chinese super league","8","7","0","0","-","-","8","7"
"tianjin quanjian","2018","chinese super league","12","4","1","0","8","5","21","9"
"tianjin quanjian","total","total","20","11","1","0","8","5","29","16"
"koln","2018-19","2. bundesliga","1","1","0","0","-","-","1","1"
"career total","career total","career total","319","121","31","15","8","5","358","141"
