"","2006 census- 2011 national household survey linkage","full 2006 census data"
"","mean","mean"
"variable","",""
"age","30.5","30.7"
"other family income","52,088","50,226"
"number of children under the age of 18","0.93","0.92"
"","percentage share of total","percentage share of total"
"age group","",""
"21 to 25","25.5","25.1"
"26 to 30","24.3","23.8"
"31 to 35","24.3","24.4"
"36 to 40","25.9","26.7"
"education","",""
"high school or less","29.3","30.4"
"some postsecondary","39.1","39.7"
"bachelor's degree","26.1","24.6"
"graduate degree","5.5","5.3"
"partnership status","",""
"single","38.9","39.1"
"couple","61.1","60.9"
"age of youngest child","",""
"no children","33.0","33.3"
"0 to 1","13.4","12.8"
"2 to 3","9.4","9.3"
"4 to 5","7.4","7.1"
"6 to 12","16.8","16.8"
"13 to 17","5.2","6.0"
"18 and over","14.6","14.8"
"mother tongue other than english or french","18.3","19.5"
"visible minority","21.0","21.6"
"urban","85.2","84.7"
"region","",""
"atlantic provinces","6.8","7.1"
"quebec","23.2","23.4"
"ontario","39.9","39.3"
"prairies","17.6","17.5"
"british columbia","12.5","12.7"
"paid employment","93.4","93.4"
"self-employment, incorporated","1.5","1.6"
"self-employment, unincorporated","5.1","5.0"
"","number","number"
"observations","69,374","673,673"
"observations","3,619,332","3,467,619"
