"","very likely","somewhat likely","somewhat unlikely","very unlikely","total"
"","percent","percent","percent","percent","percent"
"canadian private venture capital","26","13","29","32","100"
"american private venture capital","63","14","17","6","100"
"other private venture capital","32","32","18","18","100"
"financial institutions","50","6","32","12","100"
"initial public offering","33","17","22","28","100"
"personal finance","65","3","18","15","100"
"partners from strategic alliance","32","15","26","26","100"
"credit from suppliers","53","12","12","24","100"
"angel investors","57","17","11","14","100"
"government sources","50","21","21","9","100"
"other","60","7","7","27","100"
