"selected characteristics of perpetrators","male victims","female victims","all victims"
"selected characteristics of perpetrators","percent","percent","percent"
"type of perpetrator","","",""
"canadian armed forces member(s)","90","92","91"
"foreign military member(s)","5","f","6"
"department of national defence civilian(s) or contractor(s)","12","f","8"
"other","11","f","9"
"don't know","7","f","6"
"number of perpetrators","","",""
"lone","73","90","79"
"two or more","11","7","10"
"varied - sometimes one perpetrator other times two multiple perpetrators","11","f","9"
"don't know","8","f","7"
"sex of perpetrator","","",""
"always men","49","94","66"
"always women","34","f","22"
"combination of men and women","14","f","11"
"don't know","5","f","4"
"relationship to victim","","",""
"supervisor or higher rank","34","38","36"
"peer","54","47","52"
"subordinate - either in or outside chain of command","22","16","21"
"intimate partner","8","7","8"
"stranger","10","8","10"
"other","12","6","10"
"don't know","8","f","7"
"rank of perpetrator","","",""
"junior non-commissioned member","70","57","66"
"senior non-commissioned member","28","31","29"
"junior officer","15","15","16"
"senior officer","8","8","9"
"other","f","f","4"
"don't know","f","f","4"
