"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","1951-52","second division","1","0","0","0","-","-","1","0"
"brentford","1952-53","second division","10","0","0","0","-","-","10","0"
"brentford","1953-54","second division","14","0","1","0","-","-","15","0"
"brentford","1954-55","third division south","20","0","2","0","-","-","22","0"
"brentford","1955-56","third division south","4","0","0","0","-","-","4","0"
"brentford","1956-57","third division south","27","1","3","0","-","-","30","1"
"brentford","1957-58","third division south","46","0","1","0","-","-","47","0"
"brentford","1958-59","third division","37","1","4","0","-","-","41","1"
"brentford","1959-60","third division","20","0","0","0","-","-","20","0"
"brentford","1960-61","third division","46","0","2","0","3","0","51","0"
"brentford","1961-62","third division","35","0","1","0","1","0","37","0"
"brentford","1962-63","fourth division","3","0","0","0","0","0","3","0"
"career total","career total","career total","263","2","14","0","4","0","281","2"
