"province and territories","females","females","males","males","total","total"
"province and territories","number","rate","number","rate","number","rate"
"newfoundland and labrador","3","0.1","37","1.5","40","0.8"
"prince edward island","2","0.3","4","0.6","6","0.4"
"nova scotia","20","0.4","151","3.4","171","1.9"
"new brunswick","7","0.2","93","2.6","100","1.4"
"quebec","59","0.2","686","1.8","745","1.0"
"ontario","227","0.3","1,823","2.9","2,050","1.6"
"manitoba","104","1.8","573","9.9","677","5.8"
"saskatchewan","53","1.0","417","8.2","470","4.6"
"alberta","114","0.6","892","4.8","1,006","2.7"
"british columbia","70","0.3","660","3.0","730","1.7"
"yukon","3","1.8","13","7.5","16","4.7"
"northwest territories","6","3.1","25","12.3","31","7.8"
"nunavut","11","8.1","36","24.5","47","16.6"
"canada","679","0.4","5,410","3.3","6,089","1.8"
