"demographic, geographic, identity characteristics","crude rate per 100,000","95% confidence interval","95% confidence interval","age-standardized rate per 100,000","95% confidence interval","95% confidence interval","age-standardized rate ratio","95% confidence interval","95% confidence interval"
"demographic, geographic, identity characteristics","crude rate per 100,000","from","to","age-standardized rate per 100,000","from","to","age-standardized rate ratio","from","to"
"canada exccluding quebec","11.8","11.1","12.5","12.0","11.3","12.7","..","..",".."
"gender","","","","","","","","",""
"male","10.0","9.1","11.0","10.2","9.3","11.2","","..",".."
"female","13.5","12.4","14.6","13.6","12.5","14.7","1.3","1.2","1.5"
"age group","","","","","","","","",""
"younger than 15","3.1","2.2","3.9","..","..","..","..","..",".."
"15 to 24","10.5","8.8","12.3","..","..","..","..","..",".."
"25 to44","10.0","8.8","11.2","..","..","..","..","..",".."
"45 to 64","16.8","15.1","18.5","..","..","..","..","..",".."
"65 or older","17.7","15.2","20.2","..","..","..","..","..",".."
"place of residence","","","","","","","","",""
"large urban population centre","9.3","8.5","10.1","9.6","8.8","10.5","","..",".."
"medium-size population centre","23.1","19.3","26.8","23.4","19.6","27.3","2.4","2.2","2.7"
"small population centre","14.0","11.9","16.1","14.2","12.1","16.3","1.5","1.3","1.6"
"rural area","13.0","11.3","14.8","12.7","11.1","14.4","1.3","1.2","1.4"
"visible minority","","","","","","","","",""
"visible minority","2.6","2.0","3.1","2.9","2.2","3.5","0.2","0.2","0.2"
"not visible minority","13.2","12.3","14.2","13.0","12.0","13.9","","..",".."
"indigenous identity group","","","","","","","","",""
"first nations","34.1","29.7","38.5","41.7","36.2","47.3","3.8","3.6","4.1"
"on reserve","47.6","42.7","52.5","61.2","54.5","68.0","5.6","5.3","6.0"
"off reserve","26.4","20.2","32.6","30.9","23.2","38.6","2.8","2.7","3.0"
"metis","24.8","15.3","34.3","34.3","15.0","53.6","3.2","2.9","3.4"
"inuit","22.7","-1.8","47.2","35.1","-9.3","79.5","3.2","3.0","3.5"
"non-indigenous","10.8","10.1","11.5","10.9","10.1","11.6","","..",".."
