"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting fingal","2009","first division","4","0","0","0","0","0","0","0","4","0"
"sporting fingal","2010","premier division","11","0","1","0","1","0","3","1","16","1"
"sporting fingal","total","total","15","0","1","0","1","0","3","1","20","1"
"shelbourne","2011","first division","25","2","6","1","1","0","1","0","33","3"
"shelbourne","2012","premier division","24","2","6","0","2","0","2","0","34","2"
"shelbourne","total","total","49","4","12","1","3","0","3","0","67","5"
"yeovil town","2012-13","league one","20","2","0","0","0","0","4","1","24","3"
"yeovil town","2013-14","championship","35","1","1","0","2","1","-","-","38","2"
"yeovil town","2014-15","league one","17","1","3","0","0","0","1","0","21","1"
"yeovil town","2015-16","league two","10","0","1","0","0","0","0","0","11","0"
"yeovil town","2016-17","league two","39","2","2","0","2","0","4","1","47","3"
"yeovil town","total","total","121","6","7","0","4","1","9","2","141","9"
"cheltenham town","2017-18","league two","34","5","1","1","1","0","1","0","37","6"
"cheltenham town","2018-19","league two","9","1","0","0","1","0","1","0","11","1"
"cheltenham town","total","total","43","6","1","1","1","0","1","0","48","7"
"career total","career total","career total","228","16","21","2","10","1","17","3","276","22"
