"sociodemographic characteristics","2016","2016","difference"
"sociodemographic characteristics","percent","percent","percent"
"age","","",""
"65 to 69","81.3","81.4","-0.1"
"70 to 74","73.7","74.0","-0.3"
"75 to 79","63.8","63.3","0.5"
"80 and older","49.2","49.2","0.0"
"gender","","",""
"male","69.3","69.2","0.1"
"female","67.4","67.5","-0.1"
"employment","","",""
"currently employed","71.9","69.4","2.5"
"not employed","67.9","68.1","-0.2"
"household size","","",""
"unattached","62.7","66.7","-4.0"
"living with others","70.6","69.0","1.6"
"education","","",""
"less than high school diploma","46.2","49.4","-3.2"
"high school diploma","69.1","69.8","-0.7"
"postsecondary below bachelor's degree","76.7","76.0","0.7"
"bachelor's degree or higher","89.0","86.8","2.2"
"household income","","",""
"less than $20,000","..","54.1",".."
"$20,000 to under $40,000","..","63.7",".."
"$40,000 to under $60,000","..","68.4",".."
"$60,000 to under $80,000","..","73.0",".."
"$80,000 to under $100,000","..","69.7",".."
"$100,000 and over","..","79.4",".."
"location","","",""
"rural","68.2","68.8","-0.6"
"non-rural","68.3","68.1","0.2"
"health status","","",""
"excellent / very good","72.6","72.3","0.3"
"good","66.9","66.9","0.0"
"fair / poor","61.9","62.9","-1.0"
