"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","g","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td"
"1982","la","9","9","160","697","4.4","53","11","38","401","10.6","51","3"
"1983","la","16","15","266","1,014","3.8","74","9","68","590","8.7","36","2"
"1984","la","16","16","275","1,168","4.2","52","13","64","758","11.8","92","5"
"1985","la","16","16","380","1,759","4.6","61","11","67","555","8.3","44","3"
"1986","la","13","10","208","759","3.6","28","5","46","453","9.8","36","2"
"1987","la","12","12","200","754","3.8","44","5","51","410","8.0","39","0"
"1988","la","15","15","223","831","3.7","32","7","34","303","8.9","30","1"
"1989","la","8","5","69","293","4.2","15","2","20","191","9.6","26","0"
"1990","la","16","15","179","682","3.8","28","12","15","189","12.6","30","1"
"1991","la","8","2","63","287","4.6","26","2","15","131","8.7","25","0"
"1992","la","16","0","67","301","4.5","21","2","28","277","9.9","40","1"
"1993","kc","16","10","206","764","3.7","39","12","34","238","7.0","18","3"
"1994","kc","13","13","189","709","3.8","36","7","42","349","8.3","38","0"
"1995","kc","16","15","207","890","4.3","38","5","27","210","7.8","20","0"
"1996","kc","16","15","206","830","4.0","35","9","27","270","10.0","59","0"
"1997","kc","16","0","124","505","4.1","30","11","11","86","7.8","18","0"
"career","career","222","168","3,022","12,243","4.1","74","123","587","5,411","9.2","92","21"
