"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"yverdon sport","2009-10","swiss challenge league","30","0","0","0","-","-","0","0","30","0"
"wohlen","2010-11","swiss challenge league","15","0","1","0","-","-","0","0","16","0"
"middlesbrough","2012-13","premier league","0","0","0","0","1","0","0","0","1","0"
"middlesbrough","2013-14","championship","3","0","0","0","1","0","0","0","4","0"
"middlesbrough","boro total","boro total","3","0","0","0","2","0","0","0","5","0"
"shrewsbury town","2014-15","league two","46","0","3","0","4","0","1","0","54","0"
"shrewsbury town","2015-16","league one","29","0","4","0","2","0","2","0","37","0"
"shrewsbury town","2016-17","league one","43","0","3","0","2","0","1","0","49","0"
"shrewsbury town","shrewsbury total","shrewsbury total","118","0","10","0","8","0","4","0","140","0"
"blackburn rovers","2017-18","league one","1","0","4","0","0","0","0","0","5","0"
"blackburn rovers","2018-19","championship","3","0","0","0","0","0","0","0","3","0"
"blackburn rovers","blackburn total","blackburn total","4","0","4","0","0","0","0","0","8","0"
"career total","career total","career total","170","0","15","0","10","0","4","0","199","0"
