"year","title","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","title","us","us r&b","us rap","fin","nz","uk","album"
"2000","da baddest bitch","-","64","-","-","-","-","da baddest bitch"
"2000","pull over","93","46","41","-","-","-","da baddest bitch"
"2002","told y'all","-","64","-","-","-","-","diamond princess"
"2002","no panties","-","88","-","-","-","45","diamond princess"
"2003","b r right","83","50","24","-","-","-","diamond princess"
"2005","don't trip","-","74","-","-","-","-","glamorest life"
"2005","here we go","17","8","3","17","17","15","glamorest life"
"2005","da club","-","-","-","-","-","-","glamorest life"
"2007","single again","125","59","19","-","-","-","still da baddest"
"2008","i got a thang for you","121","59","-","-","-","-","still da baddest"
"2008","look back at me","-","71","-","-","-","-","still da baddest"
"2008","don't wanna fight","-","-","-","-","27","-","best of both worlds"
"2009","that's my attitude","-","110","-","-","-","-","amazin'"
"2010","million dollar girl","-","61","20","-","-","-","amazin'"
"2010","always","-","42","-","-","-","-","amazin'"
"2010","white girl","-","-","-","-","-","-","amazin'"
"2011","long heels red bottoms","-","82","-","-","-","-","diamonds are forever"
"2015","fuck boy","-","-","-","-","-","-","6 and the one"
"2017","damn","-","-","-","-","-","-","the one"
"2017","if it ain't me","-","-","-","-","-","-","the one"
"2018","paradise","-","-","-","-","-","-","tba"
"2018","mama","-","-","-","-","-","-","the one"
