"","revised average level","previously published average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"average 2015 to 2017","","",""
"compensation of employees","1,041,387","1,051,761","-10,374"
"gross operating surplus","534,183","534,198","-15"
"gross mixed income","240,550","241,558","-1,007"
"taxes less subsidies on production","91,760","91,402","358"
"taxes less subsidies on products and imports","140,315","139,533","782"
"gdp at market prices","2,049,060","2,058,544","-9,483"
"2015","","",""
"compensation of employees","1,026,846","1,026,914","-68"
"gross operating surplus","504,645","515,737","-11,092"
"gross mixed income","230,755","232,366","-1,611"
"taxes less subsidies on production","88,570","87,853","717"
"taxes less subsidies on products and imports","133,622","133,099","523"
"gdp at market prices","1,985,829","1,994,911","-9,082"
"2016","","",""
"compensation of employees","1,026,483","1,044,005","-17,522"
"gross operating surplus","524,953","518,979","5,974"
"gross mixed income","240,322","241,415","-1,093"
"taxes less subsidies on production","90,686","90,507","179"
"taxes less subsidies on products and imports","140,222","139,443","779"
"gdp at market prices","2,023,824","2,035,506","-11,682"
"2017","","",""
"compensation of employees","1,070,831","1,084,363","-13,532"
"gross operating surplus","572,951","567,877","5,074"
"gross mixed income","250,574","250,892","-318"
"taxes less subsidies on production","96,024","95,845","179"
"taxes less subsidies on products and imports","147,101","146,056","1,045"
"gdp at market prices","2,137,528","2,145,214","-7,686"
