"province or territory","total cannabis","total cannabis","total cannabis","cocaine","cocaine","cocaine","methamphetamine","methamphetamine","methamphetamine","ecstasy","ecstasy","ecstasy"
"province or territory","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019","number","rate","percent change in rate 2018 to 2019"
"newfoundland and labrador","103","20","-77","469","90","106","5","1","..","0","0",".."
"prince edward island","10","6","-91","49","31","7","20","13","-15","1","1",".."
"nova scotia","209","22","-81","440","45","-18","53","5","22","6","1","-26"
"new brunswick","169","22","-80","294","38","23","327","42","16","20","3","17"
"quebec","8,857","104","-21","2,481","29","-7","2,814","33","-16","379","4","-59"
"ontario","3,019","21","-71","4,067","28","-1","2,572","18","5","58","0","-22"
"manitoba","154","11","-78","895","65","-1","747","55","13","6","0","-1"
"saskatchewan","158","13","-83","725","62","4","1,059","90","22","6","1",".."
"alberta","356","8","-87","1,940","44","-14","3,659","84","10","44","1","8"
"british columbia","3,778","74","-54","3,481","69","20","3,186","63","5","141","3","-10"
"yukon","10","24","-82","201","492","120","1","2","..","0","0",".."
"northwest territories","29","65","-77","268","598","99","0","0","..","5","11",".."
"nunavut","16","41","-83","12","31","..","3","8","..","1","3",".."
"canada","16,868","45","-55","15,322","41","3","14,446","38","3","667","2","-46"
