"seat","before","before","before","before","change","change","change"
"seat","date","member","party","reason","date","member","party"
"sudbury","november 20, 2014","joe cimino","█ new democratic","resignation","february 5, 2015","glenn thibeault","█ liberal"
"simcoe north","august 1, 2015","garfield dunlop","█ pc","resignation","september 3, 2015","patrick brown","█ pc"
"whitby-oshawa","august 28, 2015","christine elliott","█ pc","resignation","february 11, 2016","lorne coe","█ pc"
"scarborough-rouge river","march 22, 2016","bas balkissoon","█ liberal","resignation","september 1, 2016","raymond cho","█ pc"
"ottawa-vanier","june 30, 2016","madeleine meilleur","█ liberal","resignation","november 17, 2016","nathalie des rosiers","█ liberal"
"niagara west-glanbrook","september 16, 2016","tim hudak","█ pc","resignation","november 17, 2016","sam oosterhoff","█ pc"
"sault ste. marie","december 31, 2016","david orazietti","█ liberal","resignation","june 1, 2017","ross romano","█ pc"
"carleton-mississippi mills","may 28, 2017","jack maclaren","█ pc","expulsion","none","none","█ trillium"
"toronto centre","september 1, 2017","glen murray","█ liberal","resignation","none","none","█ vacant"
"bramalea-gore-malton","october 20, 2017","jagmeet singh","█ new democratic","resignation","none","none","█ vacant"
"parkdale-high park","december 31, 2017","cheri dinovo","█ new democratic","resignation","none","none","█ vacant"
"simcoe north","february 16, 2018","patrick brown","█ pc","expulsion","none","none","█ independent"
"st. paul's","february 26, 2018","eric hoskins","█ liberal","resignation","none","none","█ vacant"
"kitchener-conestoga","april 9, 2018","michael harris","█ pc","expulsion","none","none","█ independent"
