"","men","men","women","women"
"","number","percent","number","percent"
"total","24,900","100","32,400","100"
"average age","40.3 (sd 12.9","..","39.7 (sd 12.6",".."
"died during follow-up","4,000","16","3,800","12"
"marital status","","","",""
"single","5,400","22","5,100","16"
"married/common-law","17,000","69","22,200","68"
"divorced/widowed","2,400","10","5,100","16"
"income quintile","","","",""
"1","9,800","40","13,700","42"
"2","6,400","26","8,100","25"
"3","4,300","17","5,400","17"
"4","2,900","12","3,400","11"
"5","1,400","6","1,700","5"
"educational attainment","","","",""
"less than secondary school graduation","14,800","60","18,200","56"
"secondary school graduation","8,000","32","9,200","28"
"some postsecondary","1,700","7","4,100","13"
"university degree or more","400","2","900","3"
"labour force status","","","",""
"employed","12,500","50","13,100","40"
"unemployed","5,300","21","3,500","11"
"not in labour force","7,100","29","15,800","49"
"dwelling in need of major repair","","","",""
"no","16,300","65","21,700","67"
"yes","8,600","35","10,700","33"
"move distance","","","",""
"non-mover","12,400","50","15,800","49"
"within census subdivision/census division","7,400","30","9,900","31"
"across census division/province","5,100","20","6,600","20"
"metropolitan influence zone","","","",""
"census metropoitan area","5,800","23","8,600","26"
"moderate/strong","4,200","17","5,300","16"
"weak","8,600","35","1,110","34"
"no","6,300","25","7,400","23"
"1991 community well-being index (cwb) score","","","",""
"above average for first nations communities","13,300","54","18,200","56"
"below average for first nations communities","11,500","46","14,200","44"
"income component","","","",""
"above average for first nations communities","14,400","54","18,100","59"
"below average for first nations communities","11,500","46","13,300","41"
"education component","","","",""
"above average for first nations communities","13,800","56","19,100","59"
"below average for first nations communities","11,000","44","13,300","41"
"labour force activity component","","","",""
"above average for first nations communities","13,700","55","18,800","58"
"below average for first nations communities","11,100","45","13,600","42"
"housing component","","","",""
"above average for first nations communities","13,700","55","18,600","57"
"below average for first nations communities","11,100","45","13,800","43"
"average 1991 cwb score","","","",""
"total","55 (sd 13","..","57 (sd 14",".."
"income component","55 (sd 17","..","57 (sd 17",".."
"education component","27 (sd 13","..","28 (sd 14",".."
"labour force component","69 (sd 12","..","70 (sd 12",".."
"housing component","70 (sd 17","..","71 (sd 18",".."
