"","with a university degree","with a university degree","sample size","sample size"
"","fathers","mothers","fathers","mothers"
"","percent","percent","number","number"
"second generation groups","","","",""
"south asian","30.8","21.9","11,849","11,778"
"black","16.8","7.9","7,416","10,063"
"chinese","33.6","19.7","9,919","10,197"
"filipino","33.2","35.9","2,917","3,923"
"southeast asian","18.5","8.7","2,254","2,589"
"west asian/arab","33.7","21.7","4,662","3,839"
"latin american","13.6","9.6","1,896","2,644"
"korean","42.5","27.4","830","935"
"japanese","38.1","22.6","351","483"
"white","17.8","13.3","74,368","71,695"
"all second generation","21.6","15.2","117,167","119,011"
"third-plus generation whites","15.2","10.6","492,854","560,890"
