"","1991 cohort","1991 cohort","1991 cohort","2006 cohort","2006 cohort","2006 cohort"
"","canadian-born men","canadian-educated immigrants","foreign-educated immigrants","canadian-born men","canadian-educated immigrants","foreign-educated immigrants"
"","mean","mean","mean","mean","mean","mean"
"first-year earnings","60,303","31,025","24,294","63,099","36,730","31,343"
"log first-year earnings","10.77","9.98","9.74","10.80","10.14","10.05"
"years since the base year","10.36","9.46","10.12","3.50","3.43","3.52"
"age in the base year","29.66","29.10","29.51","29.41","28.42","30.23"
"regional unemployment rate","7.29","7.06","6.82","5.96","5.98","5.99"
"years of prior canadian work experience","7.04","2.97","..","7.34","3.16",".."
"years of canadian study","..","3.96","..","..","3.84",".."
"origin-country tertiary education quality index","..","50.15","47.16","..","46.27","43.89"
"origin-country log gross domestic product per capita","..","8.00","7.77","..","7.63","7.44"
"graduate degrees","0.25","0.49","0.21","0.24","0.45","0.33"
"months of study in a year","0.08","0.29","0.12","0.58","1.62","0.60"
"french","0.33","0.06","0.05","0.25","0.04","0.04"
"other languages","..","0.03","0.23","..","0.01","0.08"
"visible minorities","0.04","0.91","0.76","0.10","0.85","0.79"
"atlantic region","0.07","0.03","0.01","0.06","0.03","0.01"
"quebec","0.28","0.19","0.16","0.23","0.25","0.23"
"manitoba and saskatchewan","0.06","0.04","0.02","0.06","0.04","0.04"
"alberta","0.11","0.10","0.08","0.11","0.15","0.13"
"british columbia","0.09","0.17","0.18","0.11","0.13","0.13"
"skilled worker class","..","0.62","0.29","..","0.77","0.69"
"other economic class","..","0.03","0.06","..","0.05","0.10"
"family class","..","0.25","0.43","..","0.14","0.19"
"refugees","..","0.10","0.21","..","0.04","0.02"
"origin-country official language english","..","0.29","0.51","..","0.30","0.41"
"origin-country official language french","..","0.08","0.03","..","0.15","0.07"
"no prior earnings in canada","0.01","0.09","..","0.00","0.12",".."
"low prior earnings","0.08","0.40","..","0.11","0.40",".."
"medium prior earnings","0.29","0.37","..","0.32","0.35",".."
"high prior earnings","0.62","0.14","..","0.57","0.14",".."
"","number","number","number","number","number","number"
"sample size","4,523","3,176","4,191","7,714","7,730","9,615"
"person-years","79,574","37,872","56,836","43,788","37,660","48,265"
