"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"empoli","2011-12","serie b","0","0","1","0","-","-","1","0","none","none"
"empoli","2012-13","serie b","34","0","1","0","-","-","35","0","none","none"
"empoli","2013-14","serie b","32","1","2","0","-","-","34","1","none","none"
"empoli","2014-15","serie a","36","0","3","0","-","-","39","0","none","none"
"empoli","total","total","102","1","7","0","-","-","109","1","none","none"
"napoli","2015-16","serie a","37","0","1","0","5","0","-","-","43","0"
"napoli","2016-17","serie a","35","0","3","0","7","0","-","-","45","0"
"napoli","2017-18","serie a","35","0","2","0","10","0","2","0","49","0"
"napoli","2018-19","serie a","17","0","1","0","3","0","0","0","21","0"
"napoli","total","total","124","0","7","0","25","0","2","0","158","0"
"career total","career total","career total","226","1","14","0","25","0","2","0","267","1"
