"","observed employment rate","observed employment rate","adjusted employment rate","adjusted employment rate"
"","men","women","men","women"
"","percent","percent","percent","percent"
"second generation groups","","","",""
"south asian","83.8","80.9","83.1","78.7"
"black","76.7","77.9","79.6","77.8"
"chinese","86.8","85.2","85.8","81.9"
"filipino","86.5","85.3","85.7","83.3"
"southeast asian","82.0","82.9","85.1","83.4"
"west asian/arab","82.4","73.1","83.4","72.9"
"latin american","82.4","78.6","86.1","81.4"
"korean","84.9","83.3","83.7","80.1"
"japanese","86.5","85.1","84.2","82.6"
"white","87.4","81.8","86.4","80.9"
"all second generation","86.1","81.6","85.6","80.6"
"third-plus generation whites","85.8","81.7","86.0","82.0"
