"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bilbao athletic","1999-2000","segunda division b","26","1","-","-","-","-","-","-","-","-","26","1"
"bilbao athletic","total","total","26","1","-","-","-","-","-","-","-","-","26","1"
"athletic bilbao","2000-01","la liga","14","0","1","0","-","-","-","-","-","-","15","0"
"athletic bilbao","2001-02","la liga","10","1","2","0","-","-","-","-","-","-","12","1"
"athletic bilbao","2002-03","la liga","24","4","1","0","-","-","-","-","-","-","25","4"
"athletic bilbao","2003-04","la liga","31","5","0","0","-","-","-","-","-","-","31","5"
"athletic bilbao","2004-05","la liga","29","3","6","1","-","-","8","3","-","-","43","7"
"chelsea","2005-06","premier league","25","1","4","0","0","0","4","0","1","0","34","1"
"chelsea","total","total","25","1","4","0","0","0","4","0","1","0","34","1"
"valencia","2006-07","la liga","6","0","0","0","-","-","2","0","-","-","8","0"
"athletic bilbao","2007-08","la liga","16","0","5","1","-","-","-","-","-","-","21","1"
"athletic bilbao","athletic total","athletic total","124","13","15","2","-","-","8","3","-","-","147","18"
"valencia","2008-09","la liga","9","0","4","0","-","-","8","2","-","-","21","2"
"valencia","2009-10","la liga","0","0","2","0","-","-","1","0","-","-","3","0"
"valencia","valencia total","valencia total","15","0","6","0","-","-","11","2","-","-","32","2"
"real valladolid","2009-10","la liga","13","0","0","0","-","-","-","-","-","-","13","0"
"real valladolid","total","total","13","0","0","0","-","-","-","-","-","-","13","0"
"levante","2010-11","la liga","22","2","2","0","-","-","-","-","-","-","24","2"
"levante","2011-12","la liga","13","0","2","0","-","-","-","-","-","-","15","0"
"levante","total","total","35","2","4","2","-","-","7","3","-","-","39","2"
"career total","career total","career total","238","17","29","4","0","0","23","5","1","0","291","24"
