"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","us","us com","aus","bel","can","nld","nz","uk","certifications"
""weird al" yankovic","released: april 1983 label: scotti brothers formats: cassette, lp","139","-","-","-","-","-","-","-","riaa: gold"
""weird al" yankovic in 3-d","released: february 28, 1984 label: scotti brothers formats: cassette, lp","17","-","61","-","16","-","-","-","riaa: platinum mc: gold"
"dare to be stupid","released: june 18, 1985 label: scotti brothers formats: cd, cassette, lp","50","-","-","-","55","-","-","-","riaa: platinum"
"polka party!","released: october 21, 1986 label: scotti brothers formats: cd, cassette, lp","177","-","-","-","-","-","-","-","none"
"even worse","released: april 12, 1988 label: scotti brothers formats: cd, cassette, lp","27","-","73","-","23","-","44","-","riaa: platinum mc: gold"
"uhf - original motion picture soundtrack and other stuff","released: july 18, 1989 label: scotti brothers formats: cd, cassette, lp","146","-","-","-","-","-","-","-","none"
"off the deep end","released: april 14, 1992 label: scotti brothers formats: cd, cassette, lp","17","-","45","-","24","-","-","-","riaa: platinum mc: platinum"
"alapalooza","released: october 5, 1993 label: scotti brothers formats: cd, cassette","46","-","-","-","27","-","-","-","riaa: gold mc: 2× platinum"
"bad hair day","released: march 12, 1996 label: scotti brothers formats: cd, cassette","14","-","-","-","9","-","-","-","riaa: platinum mc: platinum"
"running with scissors","released: june 29, 1999 label: volcano formats: cd, cassette, digital download","16","-","18","-","16","-","-","-","riaa: platinum aria: gold mc: gold"
"poodle hat","released: may 20, 2003 label: volcano formats: cd, cassette, digital download","17","12","26","-","-","-","-","-","none"
"straight outta lynwood","released: september 26, 2006 label: volcano formats: cd, cassette, digital download","10","1","27","-","26","-","-","-","riaa: gold"
"alpocalypse","released: june 21, 2011 label: volcano formats: cd, lp, digital download","9","1","28","-","13","-","-","-","none"
"mandatory fun","released: july 15, 2014 label: rca formats: cd, lp, digital download","1","1","9","198","3","99","16","71","none"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
