"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"norwich city","1996-97","first division","3","0","0","0","0","0","-","-","3","0"
"norwich city","1997-98","first division","36","13","1","0","1","0","-","-","38","13"
"norwich city","1998-99","first division","40","17","0","0","5","2","-","-","45","19"
"norwich city","1999-2000","first division","4","2","0","0","0","0","-","-","4","2"
"norwich city","2000-01","first division","1","0","0","0","0","0","-","-","1","0"
"norwich city","norwich city total","norwich city total","84","32","1","0","6","2","0","0","91","34"
"coventry city","2000-01","premier league","34","6","2","1","3","1","-","-","39","8"
"newcastle united","2001-02","premier league","27","9","3","0","3","4","6","1","39","14"
"newcastle united","2002-03","premier league","29","7","1","0","0","0","6","2","36","9"
"newcastle united","2003-04","premier league","16","5","0","0","0","0","8","5","24","10"
"newcastle united","2004-05","premier league","21","7","1","0","2","0","5","3","29","10"
"newcastle united","newcastle united total","newcastle united total","93","28","5","0","5","4","25","11","128","43"
"celtic","2004-05","scottish premier league","12","7","3","2","0","0","-","-","15","9"
"blackburn rovers","2005-06","premier league","27","13","1","2","4","2","-","-","32","17"
"liverpool","2006-07","premier league","27","7","0","0","2","0","12","2","41","9"
"west ham united","2007-08","premier league","8","2","0","0","1","2","-","-","9","4"
"west ham united","2008-09","premier league","16","5","1","0","0","0","-","-","17","5"
"west ham united","west ham united total","west ham united total","24","7","1","0","1","2","0","0","26","9"
"manchester city","2008-09","premier league","8","2","0","0","0","0","3","2","11","4"
"manchester city","2009-10","premier league","32","10","3","1","5","0","-","-","40","11"
"manchester city","manchester city total","manchester city total","40","12","3","1","5","0","3","2","51","15"
"cardiff city","2010-11","championship","35","11","0","0","0","0","-","-","35","11"
"liverpool","2011-12","premier league","24","6","3","1","6","2","-","-","33","9"
"cardiff city","2012-13","championship","33","4","0","0","0","0","-","-","33","4"
"cardiff city","2013-14","premier league","22","2","0","0","0","0","-","-","22","2"
"cardiff city","cardiff city total","cardiff city total","90","17","0","0","0","0","0","0","90","17"
"career total","career total","career total","455","135","19","7","32","13","40","15","546","170"
