"census metropolitan area","population","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"census metropolitan area","number","index","percent change 2016 to 2017","percent change 2007 to 2017","index","percent change 2016 to 2017","index","percent change 2016 to 2017"
"st. john's","208,192","66.8","-15","-33","84.1","-6","60.5","-19"
"halifax","431,721","64.4","4","-39","86.7","9","56.3","2"
"moncton","159,464","85.8","15","..","72.8","-5","90.3","22"
"saint john","128,726","56.5","3","..","71.9","-4","50.8","6"
"saguenay","166,715","55.4","-2","-16","59.2","-13","53.9","3"
"quebec","805,502","48.5","8","-26","63.9","24","42.8","1"
"sherbrooke","202,158","51.9","3","-30","59.5","3","49.0","2"
"trois-rivieres","157,622","53.1","10","-22","56.8","22","51.7","6"
"montreal","4,148,023","58.2","0","-39","73.7","3","52.5","-1"
"gatineau","335,028","56.7","1","-30","68.3","7","52.4","-2"
"ottawa","1,034,893","50.8","0","-33","64.4","2","45.7","-1"
"kingston","169,901","61.2","11","-13","61.6","53","60.9","1"
"peterborough","125,666","53.4","-3","-14","69.3","-1","47.6","-4"
"toronto","6,273,778","48.7","3","-31","71.6","3","40.3","3"
"hamilton","771,489","58.4","9","-31","74.7","13","52.4","7"
"st. catharines-niagara","458,986","56.2","12","-30","46.2","20","59.6","10"
"kitchener-cambridge-waterloo","559,714","69.9","14","-2","73.7","23","68.3","11"
"brantford","148,605","86.3","-1","-22","94.0","7","83.3","-3"
"guelph","135,474","64.3","15","8","58.5","14","66.2","15"
"london","524,581","69.9","3","-22","60.4","2","73.1","4"
"windsor","338,403","71.7","7","-13","64.9","12","74.0","5"
"barrie","221,854","45.3","0","-33","54.0","15","42.1","-5"
"greater sudbury","164,926","83.5","25","6","75.7","20","86.1","26"
"thunder bay","120,693","85.7","1","-22","140.7","12","65.7","-6"
"winnipeg","810,099","106.9","4","-29","153.5","7","89.9","3"
"regina","253,630","111.9","-11","-40","104.5","-18","114.3","-9"
"saskatoon","328,835","115.0","-1","-27","107.9","-2","117.2","-1"
"calgary","1,494,086","81.8","6","-11","73.5","15","84.5","3"
"edmonton","1,405,619","112.3","5","-13","107.0","5","114.0","6"
"kelowna","200,908","98.2","-2","-24","61.4","-5","111.3","-2"
"abbotsford-mission","190,730","88.8","-1","-39","86.7","7","89.3","-4"
"vancouver","2,572,179","88.2","-6","-33","70.4","-2","94.4","-8"
"victoria","377,551","62.4","-3","-42","64.8","12","61.4","-7"
"canada","36,708,083","72.9","2","-24","80.3","5","70.0","0"
