"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","g","gs","att","yards","avg","long","td","rec","yards","avg","long","td"
"2008","oak","13","5","113","499","4.4","50","4","29","285","9.8","27","0"
"2009","oak","12","7","104","357","3.4","28","1","21","245","11.7","48","0"
"2010","oak","13","13","223","1,157","5.2","57","7","47","507","10.8","67","3"
"2011","oak","7","7","113","614","5.4","70","4","19","154","8.1","26","1"
"2012","oak","12","12","216","707","3.3","64","2","42","258","6.1","20","1"
"2013","oak","10","7","114","379","3.3","30","5","17","108","6.4","16","0"
"2014","oak","16","12","155","534","3.4","25","2","36","212","5.9","23","0"
"2015","dal","16","10","239","1,089","4.6","50","3","40","328","8.2","21","0"
"2016","dal","3","1","24","87","3.6","24","0","3","17","5.7","11","0"
"2017","dal","1","0","1","2","2.0","2","0","0","0","0.0","0","0"
"career","career","103","74","1,302","5,421","4.2","70","28","254","2,114","8.3","67","5"
