"club","season","league","league","europe","europe","total","total"
"club","season","apps","goals","apps","goals","apps","goals"
"dimitrovgrad","1962-63","25","8","-","-","25","8"
"beroe","1963-64","27","11","-","-","27","11"
"beroe","1964-65","30","18","-","-","30","18"
"beroe","1965-66","26","20","-","-","26","20"
"beroe","1966-67","29","21","-","-","29","21"
"beroe","1967-68","29","31","-","-","29","31"
"cska sofia","1968-69","29","36","0","0","29","36"
"cska sofia","1969-70","28","31","2","2","30","33"
"cska sofia","1970-71","27","16","4","2","31","18"
"cska sofia","1971-72","33","27","3","1","36","28"
"cska sofia","1972-73","31","29","4","2","35","31"
"cska sofia","1973-74","14","2","4","2","18","4"
"cska sofia","1974-75","5","3","1","0","6","3"
"career totals","career totals","333","253","18","9","351","262"
