"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","2009-10","league two","1","0","0","0","0","0","0","0","1","0"
"port vale","2010-11","league two","16","1","1","0","0","0","0","0","17","1"
"port vale","2011-12","league two","26","1","2","0","0","0","0","0","28","1"
"port vale","2012-13","league two","28","2","1","0","1","0","2","0","32","2"
"port vale","total","total","71","4","4","0","1","0","2","0","78","4"
"chesterfield","2013-14","league two","34","1","0","0","1","0","4","1","39","2"
"chesterfield","2014-15","league one","39","2","6","0","1","0","2","0","48","2"
"chesterfield","2015-16","league one","26","4","3","1","1","0","0","0","30","5"
"chesterfield","total","total","99","7","9","1","3","0","6","1","117","9"
"wigan athletic","2015-16","league one","16","1","-","-","16","1","none","none","none","none"
"wigan athletic","2016-17","championship","15","1","2","0","0","0","-","-","17","1"
"wigan athletic","2017-18","league one","41","2","6","1","0","0","0","0","47","3"
"wigan athletic","2018-19","championship","18","1","0","0","0","0","-","-","18","1"
"wigan athletic","total","total","90","5","8","1","0","0","0","0","98","6"
"barnsley","2016-17","championship","14","0","-","-","14","0","none","none","none","none"
"career total","career total","career total","274","16","21","2","4","0","8","1","307","19"
