"census metropolitanarea,,","type of substance","type of substance","type of substance","type of substance","type of substance","type of substance","type of substance","type of substance","total","total"
"census metropolitanarea,,","cannabis","cannabis","cocaine","cocaine","methamphetamines","methamphetamines","other cdsa","other cdsa","total","total"
"census metropolitanarea,,","number","rate","number","rate","number","rate","number","rate","number","rate"
"kelowna","1,043","563","355","192","77","42","164","89","1,639","885"
"vancouver","7,392","302","2,077","85","631","26","1,240","51","11,340","464"
"gatineau","988","306","126","39","203","63","160","50","1,477","457"
"regina","492","210","397","169","19","8","125","53","1,033","441"
"abbotsford-mission","422","238","134","76","65","37","120","68","741","418"
"victoria","999","280","279","78","71","20","140","39","1,489","417"
"sherbrooke","554","285","50","26","27","14","129","66","760","390"
"trois-rivieres","377","244","51","33","85","55","35","23","548","355"
"greater sudbury","264","160","143","87","1","1","148","90","556","337"
"brantford","300","211","87","61","5","4","70","49","462","325"
"kitchener-cambridge-waterloo","1,205","225","179","33","42","8","266","50","1,692","316"
"halifax","977","239","182","45","3","1","106","26","1,268","310"
"hamilton","1,474","201","326","44","10","1","249","34","2,059","280"
"london","751","150","172","34","110","22","317","63","1,350","269"
"guelph","271","211","28","22","15","12","22","17","336","261"
"edmonton","1,964","152","783","61","333","26","292","23","3,372","261"
"st. john's","289","143","52","26","0","0","178","88","519","256"
"barrie","303","146","114","55","2","1","106","51","525","252"
"saskatoon","506","169","126","42","41","14","80","27","753","252"
"saint john","247","169","62","42","0","0","58","40","367","251"
"moncton","253","176","45","31","12","8","42","29","352","245"
"quebec","1,145","146","139","18","106","13","382","49","1,772","225"
"saguenay","243","145","32","19","60","36","33","20","368","219"
"montreal","5,830","146","961","24","315","8","1,566","39","8,672","218"
"toronto","7,639","129","2,119","36","137","2","1,422","24","11,317","192"
"windsor","382","116","89","27","10","3","129","39","610","185"
"ottawa","1,234","127","375","38","6","1","177","18","1,792","184"
"peterborough","157","129","30","25","1","1","25","21","213","175"
"st.catharines-niagara","532","119","145","33","16","4","84","19","777","174"
"kingston","135","82","54","33","34","21","55","34","278","170"
"winnipeg","574","72","379","47","6","1","193","24","1,152","144"
"calgary","1,110","81","519","38","47","3","100","7","1,776","129"
"thunder bay","86","71","43","35","0","0","27","22","156","128"
"cma total","40,138","166","10,653","44","2,490","10","8,240","34","61,521","255"
"non-cma total","33,135","301","6,792","62","2,131","19","5,478","50","47,536","432"
"canada","73,273","208","17,445","50","4,621","13","13,718","39","109,057","310"
