"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","aus","aut","bel","fin","fra","ger","ned","pol","swe","swi","uk","us","certifications","album"
"2000","around the world","11","1","10","7","12","1","5","1","8","1","15","28","ger: platinum aut: gold swi: gold fra: silver","planet pop"
"2000","my heart beats like a drum","76","6","11","12","39","3","37","18","38","21","-","-","ger: gold","planet pop"
"2000","why oh why","-","16","39","-","-","16","-","29","-","64","-","-","none","planet pop"
"2000","thinking of you","-","-","-","-","-","46","-","-","-","51","-","-","none","planet pop"
"2001","i'm in heaven","-","27","-","-","-","22","-","-","-","31","-","-","none","touch the sky"
"2001","call on me","-","-","-","-","-","-","-","-","-","-","-","-","none","touch the sky"
"2002","set me free","-","-","-","-","-","44","-","-","-","-","-","-","none","touch the sky"
"2003","new york city","-","-","-","-","-","81","-","-","-","-","-","-","none","touch the sky"
"2019","all around the world","-","-","-","-","-","-","-","-","-","-","-","-","none","non-album single"
""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country",""-" denotes releases that failed to chart or not released in that country"
