"enterprise size class, 2008","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014"
"enterprise size class, 2008","between 1 and 4","between 5 and 9","between 10 and 19","between 20 and 49","between 50 and 99","between 100 and 249","between 250 and 499","between 500 and 999","1,000 and above","attrition"
"enterprise size class, 2008","%","%","%","%","%","%","%","%","%","%"
"between 1 and 4","50.0","5.3","0.8","0.2","0.0","0.0","x","x","x","43.7"
"between 5 and 9","19.9","38.9","10.5","1.2","0.1","0.0","x","x","x","29.2"
"between 10 and 19","5.1","15.5","43.5","12.1","0.6","0.1","0.0","x","x","23.0"
"between 20 and 49","2.3","2.6","13.3","51.5","8.6","0.8","0.1","0.0","0.0","20.7"
"between 50 and 99","1.6","0.9","1.7","16.8","47.7","11.4","0.5","0.1","0.0","19.3"
"between 100 and 249","1.0","0.8","0.9","2.6","13.4","52.7","7.6","0.7","0.1","20.2"
"between 250 and 499","0.6","x","x","1.4","1.7","13.8","45.9","11.1","0.9","24.0"
"between 500 and 999","x","x","x","x","x","x","10.7","48.7","12.1","22.4"
"1,000 and above","x","x","x","x","x","x","1.4","4.6","65.9","25.9"
"addition","74.9","14.4","6.3","3.2","0.8","0.3","0.1","0.0","0.0",".."
