"club","season","league","league","league","league","league","league","league","league","cup","europe","ref"
"club","season","m","w","d","l","gf","ga","win %","pos","pos","pos","ref"
"bochum","1986-87","34","9","14","11","52","44","26.47","11th","fr","-","none"
"bochum","1987-88","34","10","10","14","47","51","29.41","12th","f","-","none"
"bochum","totals","68","19","24","25","99","95","27.94","-","-","-","-"
"nurnberg","1988-89","34","8","10","16","36","54","23.53","14th","sr","fr","none"
"nurnberg","1989-90","27","8","10","9","33","32","29.63","9th","sr","-","none"
"nurnberg","totals","61","16","20","25","69","86","26.23","-","-","-","-"
"bayern munich","1990-91","32","16","7","9","58","39","50.00","4th","-","-","none"
"bayern munich","1991-92","32","11","9","12","49","41","34.38","6th","-","-","none"
"bayern munich","1992-93","32","16","8","8","58","31","50.00","5th","-","-","none"
"bayern munich","1993-94","32","17","6","9","53","32","53.13","4th","-","-","none"
"bayern munich","1994-95","34","12","12","10","43","45","35.29","7th","qf","-","none"
"bayern munich","totals","162","72","42","48","261","188","44.44","-","-","-","-"
"nurnberg","1995-96","27","7","12","8","27","29","25.93","12th","qf","-","none"
"tennis borussia berlin","1996-97","22","11","7","4","39","16","50.00","6th","-","-","none"
"tennis borussia berlin","1997-98","34","29","5","0","86","7","85.29","1st","-","-","none"
"tennis borussia berlin","1998-99","14","8","2","4","22","17","57.14","5th","qf","-","none"
"tennis borussia berlin","totals","70","48","14","8","147","40","68.57","-","-","-","-"
"arminia bielefeld","1999-2000","34","7","9","18","40","61","20.59","17th","r16","-","none"
"arminia bielefeld","2000-01","8","4","2","2","13","9","50.00","4th","sr","-","none"
"arminia bielefeld","totals","42","11","11","20","53","70","26.19","-","-","-","-"
"ulm","2000-01","16","3","5","8","17","23","18.75","16th","r16","-","none"
"bayern munich ii","2001-02","34","13","9","12","58","51","38.24","10th","-","-","none"
"bayern munich ii","2002-03","36","16","9","11","51","35","44.44","4th","fr","-","none"
"bayern munich ii","2003-04","34","17","13","4","71","33","50.00","1st","-","-","none"
"bayern munich ii","2004-05","34","14","10","10","51","38","41.18","6th","qf","-","none"
"bayern munich ii","2005-06","34","11","9","14","34","44","32.35","12th","-","-","none"
"bayern munich ii","2006-07","34","11","13","10","41","37","32.35","8th","-","-","none"
"bayern munich ii","2007-08","34","12","11","11","53","42","35.29","8th","-","-","none"
"bayern munich ii","2008-09","33","12","14","7","43","33","36.36","6th","-","-","none"
"bayern munich ii","totals","283","106","88","89","402","313","37.46","-","-","-","-"
"bayern munich ii","2010-11","32","5","8","19","23","49","15.63","19th","-","-","none"
