"","people with no close friends","people with no close friends","people with no close friends","people with three or more close friends","people with three or more close friends","people with three or more close friends"
"","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","6","6","6","70","75","75"
"men","6","6","7","71","76","75"
"women","6","6","5","69","74","75"
"age group","","","","","",""
"15 to 24 years","1","1","1","82","88","88"
"25 to 34 years","3","3","3","75","79","82"
"35 to 44 years","5","5","5","68","74","75"
"45 to 54 years","7","6","7","65","70","71"
"55 to 64 years","9","7","8","65","71","69"
"65 to 74 years","11","10","10","67","70","68"
"75 years and older","18","15","15","61","65","66"
"province","","","","","",""
"newfoundland and labrador","5","3","4","72","77","80"
"prince edward island","4","4","2","78","81","82"
"nova scotia","4","5","6","76","78","77"
"new brunswick","5","5","6","73","74","74"
"quebec","10","8","8","57","66","67"
"ontario","6","5","6","74","77","76"
"manitoba","6","6","5","74","76","79"
"saskatchewan","5","5","5","76","79","77"
"alberta","5","5","5","75","79","80"
"british columbia","4","5","4","76","79","79"
