"selected characteristics","number of fire safety devices in the household:","number of fire safety devices in the household:","number of fire safety devices in the household:"
"selected characteristics","none","1 to 2","3"
"selected characteristics","percent","percent","percent"
"sex","","",""
"male","1","50","45"
"female","1","52","40"
"age group","","",""
"15 to 24,","f","46","41"
"25 to 34","1","56","36"
"35 to 44","f","53","43"
"45 to 54","1","51","45"
"55 to 64","0","50","46"
"65 and older","0","51","43"
"immigrant status","","",""
"canadian-born","0","51","44"
"established immigrant","f","51","44"
"recent immigrant","f","65","24"
"visible minority status","","",""
"visible minority,","f","56","35"
"not a visible minority","0","51","45"
"aboriginal identity","","",""
"aboriginal","f","50","43"
"non-aboriginal","1","52","43"
"activity-limitation - long-term physical condition","","",""
"yes","1","55","40"
"no","0","51","44"
"activity-limitation - long-term psychological, emotional or mental health condition","","",""
"yes (often/always or sometimes),","1","61","32"
"no","0","51","44"
"household income","","",""
"less than $20,000 (includes income loss),","2","65","27"
"$20,000 to less than $40,000","f","63","29"
"$40,000 to less than $60,000","f","59","37"
"$60,000 to less than $80,000","1","55","40"
"$80,000 to less than $100,000","f","52","42"
"$100,000 to less than $150,000","f","50","47"
"$150,000 and over","f","42","54"
"tenure","","",""
"own","0","48","47"
"rent","1","65","27"
"household size","","",""
"1 person,","1","63","30"
"2 persons","0","53","43"
"3 persons","f","48","45"
"4 persons","f","46","47"
"5 persons or more","f","49","42"
"household composition","","",""
"household with senior(s)","1","51","44"
"household without senior(s)","1","52","42"
"household with child(ren),","1","48","45"
"household without child(ren)","1","52","42"
"total","1","51","42"
