"year","film","functioned as","functioned as","functioned as","functioned as","functioned as","functioned as","notes"
"year","film","director","producer","writer","music","actor","role","notes"
"1988","above the law","","yes","yes","","yes","nico toscani",""
"1990","hard to kill","","","","","yes","mason storm",""
"1990","marked for death","","yes","","yes","yes","john hatcher",""
"1991","out for justice","","yes","","yes","yes","det. gino felino","gene lebell, the film's stunt coordinator, claimed to have choked seagal unconscious on the production set"
"1992","under siege","","yes","","","yes","casey ryback",""
"1994","on deadly ground","yes","yes","","","yes","forrest taft",""
"1995","under siege 2: dark territory","","yes","","yes","yes","casey ryback","sequel to under siege"
"1996","executive decision","","","","","yes","lt. colonel austin travis","supporting role"
"1996","the glimmer man","","yes","","yes","yes","lt. jack cole",""
"1997","fire down below","","yes","","yes","yes","jack taggart",""
"1998","my giant","","","","","yes","himself","cameo"
"1998","the patriot","","yes","","","yes","dr. wesley mcclaren","direct-to-video"
"1998","not even the trees","","yes","","","","","direct-to-video"
"2000","prince of central park","","yes","","","","","direct-to-video"
"2001","the path beyond thought","","yes","","","yes","himself/narrator","documentary executive producer"
"2001","exit wounds","","","","","yes","orin boyd",""
"2001","ticker","","","","yes","yes","frank glass","limited release"
"2002","half past dead","","yes","","","yes","sasha petrosevitch",""
"2003","the foreigner","","yes","","","yes","jonathan cold","direct-to-video"
"2003","out for a kill","","yes","","","yes","prof. robert burns","direct-to-video"
"2003","belly of the beast","","yes","","","yes","jake hopper","direct-to-video"
"2004","out of reach","","","","","yes","william lansing","direct-to-video"
"2004","clementine","","","","","yes","jack miller","limited release"
"2005","into the sun","","","yes","yes","yes","travis hunter","direct-to-video also received "story by" credit"
"2005","submerged","","","","","yes","chris cody","direct-to-video"
"2005","today you die","","yes","","","yes","harlan banks","direct-to-video"
"2005","dragon squad","","yes","","","","","limited release"
"2005","black dawn","","yes","","","yes","jonathan cold","direct-to-video sequel to the foreigner"
"2006","mercenary for justice","","","","","yes","john seeger","direct-to-video"
"2006","shadow man","","yes","yes","","yes","jack foster","direct-to-video"
"2006","attack force","","yes","yes","","yes","cmdr. marshall lawson","direct-to-video"
"2007","flight of fury","","","yes","","yes","john sands","direct-to-video"
"2007","urban justice","","yes","","","yes","simon ballister","direct-to-video"
"2008","pistol whipped","","yes","","","yes","matt conlin","direct-to-video"
"2008","the onion movie","","","","","yes","cock puncher","direct-to-video supporting role"
"2008","kill switch","","yes","yes","","yes","jacob king","direct-to-video"
"2009","against the dark","","","","","yes","tao","direct-to-video"
"2009","driven to kill","","","","","yes","ruslan drachev","direct-to-video"
"2009","the keeper","","yes","yes","","yes","roland sallinger","direct-to-video"
"2009","a dangerous man","","","","","yes","shane daniels","direct-to-video"
"2010","machete","","","","","yes","rogelio torrez","seagal's first wide release since 2002"
"2010","sheep impact","","","","","yes","paul weland","short film"
"2010","born to raise hell","","yes","yes","","yes","robert "bobby" samuels","direct-to-video"
"2012","maximum conviction","","","","","yes","cross","direct-to-video"
"2013","force of execution","","yes","","","yes","john alexander","direct-to-video"
"2014","a good man","","yes","","","yes","john alexander","direct-to-video prequel to force of execution"
"2014","gutshot straight","","","","","yes","paulie trunks","direct-to-video supporting role"
"2015","absolution","","yes","","","yes","john alexander","direct-to-video sequel to a good man"
"2016","code of honor","","yes","","","yes","robert sikes",""
"2016","sniper: special ops","","yes","","","yes","jake",""
"2016","the asian connection","","yes","","","yes","gan sirankiri",""
"2016","end of a gun","","yes","","","yes","decker",""
"2016","contract to kill","","yes","","","yes","john harmon",""
"2016","the perfect weapon","","yes","","","yes","the director",""
"2017","cartels","","yes","","","yes","harrison",""
"2017","china salesman","","","","","yes","lauder",""
"2018","attrition","","yes","","","yes","axe",""
"2019","above the law 2","","yes","","","yes","nico toscani","in development"
"2019","under siege 3","","yes","","","yes","casey ryback","in development"
