"club","season","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"tembetary","2000","-","-","-","-","-","-","-","-","-","-"
"tembetary","2001","-","-","-","-","-","-","-","-","-","-"
"tembetary","total","22","11","-","-","-","-","-","-","22","11"
"werder bremen","2002-03","2","0","1","0","0","0","0","0","3","0"
"werder bremen","2003-04","21","5","5","1","0","0","0","0","26","6"
"werder bremen","2004-05","27","7","4","2","8","2","0","0","39","11"
"werder bremen","2005-06","30","9","3","0","9","2","0","0","42","11"
"werder bremen","total","80","21","13","3","17","4","0","0","110","28"
"borussia dortmund","2006-07","29","1","2","1","0","0","0","0","31","2"
"borussia dortmund","2007-08","27","2","3","0","0","0","0","0","30","2"
"borussia dortmund","2008-09","29","7","3","1","2","0","0","0","34","8"
"borussia dortmund","2009-10","28","5","3","0","0","0","0","0","31","5"
"borussia dortmund","total","113","15","11","2","2","0","0","0","126","17"
"hercules","2010-11","26","8","0","0","0","0","0","0","26","8"
"hercules","total","26","8","0","0","0","0","0","0","26","8"
"rubin kazan","2011-12","17","3","2","0","8","3","1","0","28","6"
"rubin kazan","2012-13","3","0","0","0","0","0","0","0","3","0"
"rubin kazan","total","20","3","2","0","8","3","1","0","31","6"
"valencia","2012-13","28","6","5","2","7","1","0","0","40","9"
"valencia","total","28","6","5","2","7","1","0","0","40","9"
"al jazira","2013-14","12","4","2","0","0","0","0","0","14","4"
"al jazira","total","12","4","2","0","0","0","0","0","14","4"
"olympiacos","2013-14","10","6","2","0","2","0","0","0","14","6"
"olympiacos","total","10","6","2","0","2","0","0","0","14","6"
"eintracht frankfurt","2014-15","2","0","1","0","-","-","1","0","4","0"
"eintracht frankfurt","total","2","0","1","0","-","-","1","0","4","0"
"seattle sounders fc","2015","7","1","3","1","-","-","-","-","10","2"
"seattle sounders fc","2016","24","0","2","2","-","-","1","1","26","2"
"seattle sounders fc","total","31","1","5","3","-","-","1","1","37","5"
"career total","career total","313","74","36","7","36","8","2","0","384","89"
