"","mean","median"
"","years","years"
"demographics","",""
"age","64.1","64.0"
"","percent","percent"
"female","52.0",".."
"male","48.0",".."
"married","72.3",".."
"employment and income","",""
"has employment earnings","34.7",".."
"has self-employment earnings","9.1",".."
"has investment income","44.6",".."
"has capital gains","12.6",".."
"has old age security income","42.8",".."
"has private pension income","38.9",".."
"has taxable income","98.1",".."
"","2012 constant dollars","2012 constant dollars"
"conditional earnings and income","",""
"employment earnings","42,800","27,100"
"self-employment earnings","28,100","10,100"
"investment income","3,400","750"
"capital gains","9,200","750"
"old age security income","5,700","6,500"
"private pension income","21,700","17,250"
"taxable income","39,550","28,300"
"","percent","percent"
"income-tax rates","",""
"predicted marginal income tax rate","22.1","23.6"
"predicted average income tax rate","11.4","13.2"
