"jurisdiction","administration and central services","custody","community supervision","national and provincial parole boards","other federal expenditures","total","percent change in total from 2016/2017","average daily inmate cost in 2017/2018","per capita cost in 2017/2018"
"jurisdiction","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars","percent","dollars","dollars"
"newfoundland and labrador","161","33,374","4,185","..","..","37,719","1","267","71"
"prince edward island","510","8,778","1,436","..","..","10,724","1","273","71"
"nova scotia","4,895","46,428","8,200","..","..","59,523","3","271","62"
"new brunswick","791","34,310","3,979","..","..","39,080","-1","199","51"
"quebec","11,291","443,273","81,476","5,056","..","541,096","7","251","64"
"ontario","49,195","721,269","117,330","2,819","..","890,612","6","264","63"
"manitoba","3,716","187,954","24,439","..","..","216,108","2","215","162"
"saskatchewan","6,712","119,437","21,761","..","..","147,910","2","176","127"
"alberta","8,987","203,196","41,208","..","..","253,392","-1","150","59"
"british columbia","15,545","243,914","56,341","..","..","315,800","5","255","66"
"yukon","608","10,964","1,917","..","..","13,489","-5","507","351"
"northwest territories","1,465","28,018","4,644","..","..","34,128","9","435","767"
"total-provinces and territories","103,877","2,080,915","366,916","7,874","..","2,559,582","5","233","70"
"federal","..","1,532,527","152,653","47,700","757,307","2,490,188","9","330","68"
"total-all jurisdictions","..","3,613,442","519,570","55,574","..","5,049,770","7","268",".."
