"province and territory","total youth crime severity index","total youth crime severity index","total youth crime severity index","youth violent crime severity index","youth violent crime severity index","youth non-violent crime severity index","youth non-violent crime severity index"
"province and territory","index","percent change in rate 2014 to 2015","percent change 2005 to 2015","index","percent change in rate 2014 to 2015","index","percent change in rate 2014 to 2015"
"newfoundland and labrador","58.7","1","-38","49.3","-1","65.2","2"
"prince edward island","34.6","-38","-48","29.9","-58","37.7","-15"
"nova scotia","69.3","-18","-42","64.9","-26","72.1","-12"
"new brunswick","55.8","-7","-39","49.4","4","60.1","-12"
"quebec","54.0","0","-19","64.3","0","46.6","1"
"ontario","50.3","-2","-46","60.1","-1","43.1","-2"
"manitoba","118.1","1","-23","126.0","0","112.0","2"
"saskatchewan","185.1","11","-30","173.2","41","192.8","-3"
"alberta","65.0","-1","-38","69.8","8","61.4","-8"
"british columbia","38.6","-4","-50","40.3","1","37.2","-7"
"yukon","256.8","4","-4","141.8","-53","337.1","63"
"northwest territories","293.7","-12","-46","191.7","-28","364.6","-3"
"nunavut","325.5","7","-22","223.2","3","396.5","9"
"canada","60.6","-1","-38","66.5","2","56.2","-3"
