"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"barracas central","2012-13","primera b metropolitana","24","3","0","0","-","-","0","0","24","3"
"barracas central","2013-14","primera b metropolitana","37","3","0","0","-","-","0","0","37","3"
"barracas central","total","total","61","6","0","0","-","-","0","0","61","6"
"temperley","2014","primera b nacional","19","0","0","0","-","-","0","0","19","0"
"temperley","2015","primera division","27","0","2","0","-","-","0","0","29","0"
"temperley","2016","primera division","16","0","0","0","-","-","0","0","16","0"
"temperley","2016-17","primera division","22","0","1","0","-","-","0","0","23","0"
"temperley","total","total","84","0","3","0","-","-","0","0","87","0"
"tigre","2017-18","primera division","10","0","0","0","-","-","0","0","10","0"
"argentinos juniors","2017-18","primera division","14","1","0","0","-","-","0","0","14","1"
"career total","career total","career total","169","7","3","0","-","-","0","0","172","7"
