"","1985 to 2001","2002 to 2010","1985 to 2010"
"","rate","rate","rate"
"asset description and code","","",""
"office furniture, furnishing","0.200","0.282","0.227"
"computers, associated hardware and word processors","0.385","0.479","0.431"
"non-office furniture, furnishings and fixtures","0.224","0.259","0.240"
"scientific, professional and medical devices","0.197","0.198","0.189"
"heating, electrical, plumbing, air conditioning and refrigeration equipment","0.132","0.204","0.130"
"pollution abatement and control equipment","0.115","0.146","0.125"
"motors, generators, transformers, turbines, compressors and pumps of all types","0.117","0.106","0.103"
"heavy construction equipment","0.149","0.155","0.157"
"tractors of all types and other field equipment","0.151","0.175","0.170"
"capitalized tooling and other tools","0.211","0.221","0.229"
"drilling and blasting equipment","0.168","0.128","0.156"
"automobiles and major replacement parts","0.295","0.287","0.279"
"buses (all types) and major replacement parts","0.125","0.098","0.103"
"trucks, vans, truck tractors, truck trailers and major replacement parts","0.203","0.192","0.201"
"other transportation equipment","0.177","0.171","0.162"
"computer-assisted processing machinery and equipment","0.142","0.134","0.134"
"non-computer-assisted processing machinery and equipment","0.136","0.137","0.125"
"communication and related equipment","0.188","0.222","0.201"
"safety and security equipment and other machinery and equipment","0.145","0.185","0.167"
"mean, all assets","0.195","0.256","0.218"
"","standard error","standard error","standard error"
"standard error of mean, all assets","0.004","0.008","0.003"
