"","family class","economic class principal applicants","government-assisted refugees","privately sponsored refugees"
"","percentage","percentage","percentage","percentage"
"type of training received","","","",""
"full-time training only","37","32","51","48"
"part-time training only","30","32","11","16"
"full-time and part-time training","34","36","38","36"
"years since landing at first year of postsecondary education participation","","","",""
"0-1","36","43","19","28"
"2-3","33","34","40","35"
"4-5","19","15","24","22"
"6-7","12","8","16","15"
"number of years enrolled in postsecondary education","","","",""
"1","38","32","37","45"
"2","26","25","26","22"
"3","15","17","14","11"
"4","9","11","10","8"
"5 or more","12","15","13","14"
"","number","number","number","number"
"average number of years enrolled","2.4","2.6","2.5","2.4"
"total","15,260","57,260","1,955","960"
