"year","team","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing"
"year","team","att","comp","yds","td","int","qb rating","att","yds","avg","td"
"1965","dal","34","17","173","2","4","45.0","3","8","2.67","0"
"1966","dal","27","13","225","3","1","98.5","7","50","7.14","0"
"1967","dal","137","69","978","10","10","67.7","15","42","2.8","0"
"1968","dal","85","44","752","4","6","68.4","4","28","7","2"
"1969","dal","302","162","2619","21","15","85.4","16","62","3.88","1"
"1970","dal","207","102","1819","15","7","89.8","16","37","2.31","0"
"1971","dal","143","78","1131","7","8","73.5","4","9","2.25","1"
"1972","dal","339","185","2396","15","21","65.9","8","26","3.25","2"
"1973","dal","32","13","174","3","1","76.8","1","0","0","0"
"1974","dal","2","2","12","0","0","91.7","1","0","0","0"
"1974","nyg","237","122","1510","9","13","61.3","4","5","1.25","0"
"1975","nyg","363","186","2359","11","16","63.6","22","72","3.27","0"
"1976","nyg","284","153","1865","9","20","55.6","15","48","3.2","0"
"1977","den","254","131","1929","14","8","82.0","31","125","4.03","4"
"1978","den","267","146","1802","11","8","77.0","17","71","4.18","0"
"1979","den","370","204","2626","16","19","70.6","23","13","0.57","1"
"1980","den","301","183","2150","12","13","77.8","21","29","1.38","1"
"1981","den","376","225","3195","21","14","90.5","8","18","2.25","0"
"1982","den","26","18","193","0","3","51.1","1","0","0","0"
"total","none","3786","2053","27908","183","187","73.5","215","627","2.92","12"
