"club","season","league","league","league","playoffs","playoffs","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"greater binghamton fc","2014","npsl","9","7","0","0","0","0","-","-","9","7"
"michigan bucks","2015","pdl","3","0","0","0","0","0","-","-","3","0"
"new york red bulls ii","2017","usl","15","0","3","1","-","-","18","1","none","none"
"new york red bulls ii","2018","usl","7","0","0","0","-","-","7","0","none","none"
"new york red bulls ii","total","total","22","0","3","1","0","0","0","0","25","1"
"new york red bulls","2018","mls","4","0","0","0","1","0","0","0","5","0"
"new york red bulls ii","2018","usl","18","2","3","0","-","-","21","2","none","none"
"pittsburgh riverhounds sc","2019","usl championship","0","0","0","0","0","0","-","-","0","0"
"career total","career total","career total","56","9","6","1","1","0","0","0","63","10"
