"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","g","gs","att","comp","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","ydsl","fum","fuml"
"2004","cin","13","13","432","263","60.8","2,897","6.7","18","18","77.3","18","47","2.6","1","25","178","2","2"
"2005","cin","16","16","509","345","67.8","3,836","7.5","32","12","101.1","34","41","1.2","1","19","105","5","2"
"2006","cin","16","16","520","324","62.3","4,035","7.8","28","13","93.9","26","37","1.4","0","36","233","15","7"
"2007","cin","16","16","575","373","64.9","4,131","7.2","26","20","86.7","24","10","0.4","0","17","119","5","1"
"2008","cin","4","4","129","75","58.1","731","5.7","3","4","69.0","6","38","6.3","0","11","67","2","0"
"2009","cin","16","16","466","282","60.5","3,094","6.6","21","13","83.6","39","93","2.4","3","26","213","6","2"
"2010","cin","16","16","586","362","61.8","3,971","6.8","26","20","82.4","32","50","1.6","0","26","201","7","3"
"2011","oak","10","9","328","199","60.7","2,753","8.4","13","16","80.5","16","20","1.3","1","17","119","2","1"
"2012","oak","15","15","565","345","61.1","4,018","7.1","22","14","85.3","18","36","2","1","26","199","7","5"
"2013","ari","16","16","572","362","63.3","4,274","7.5","24","22","83.9","27","3","0.1","0","41","289","6","3"
"2014","ari","6","6","224","141","62.9","1,626","7.3","11","3","95.6","8","25","3.1","0","9","59","3","1"
"2015","ari","16","16","537","342","63.7","4,671","8.7","35","11","104.6","25","24","1.0","1","25","151","6","2"
"2016","ari","15","15","597","364","61.0","4,233","7.1","26","14","87.2","14","38","2.7","0","40","281","14","4"
"2017","ari","7","7","267","164","61.4","1,978","7.4","9","7","84.4","14","12","0.9","0","22","150","2","0"
"total","total","182","181","6,347","3,941","62.5","46,247","7.3","294","187","87.9","301","474","1.6","8","340","2,364","82","33"
