"intended landing destination","2000","2010","2012"
"","percent","percent","percent"
"newfoundland and labrador","0.2","0.3","0.3"
"prince edward island","0.1","0.9","0.4"
"nova scotia","0.7","0.9","0.9"
"new brunswick","0.3","0.8","0.9"
"city of quebec","0.6","0.5","1.1"
"montreal","12.5","16.6","18.1"
"rest of quebec","1.2","2.1","2.2"
"ottawa","3.4","2.6","2.4"
"toronto","48.4","32.8","30.0"
"hamilton","1.4","1.4","1.6"
"rest of ontario","5.5","5.3","4.4"
"winnipeg","1.6","4.4","4.3"
"rest of manitoba","0.4","1.2","0.9"
"saskatchewan","0.8","2.7","4.3"
"calgary","3.7","5.7","6.5"
"edmonton","1.9","3.9","4.6"
"rest of alberta","0.7","2.0","2.9"
"vancouver","14.6","13.3","11.4"
"rest of british columbia","1.9","2.4","2.7"
"territories","0.0","0.1","0.2"
