"","'data' share of production activities","investment in 'data'","investment in 'data'","investment in 'data'","investment in 'data'"
"","2005 to 2018","2005","2010","2015","2018"
"","percent","millions of dollars","millions of dollars","millions of dollars","millions of dollars"
"total of all occupational groups","","","","",""
"lower range value","..","6,777","7,559","8,916","9,418"
"upper range value","..","9,742","10,840","13,448","14,216"
"financial and investment analysts","","","","",""
"lower range value","10","475","456","1,124","992"
"upper range value","20","949","913","2,249","1,983"
"customer and information services supervisors","","","","",""
"lower range value","30","578","342","307","307"
"upper range value","50","964","569","511","512"
"data entry clerks","","","","",""
"lower range value","100","2,041","2,114","1,924","1,942"
"upper range value","100","2,041","2,114","1,924","1,942"
"other customer and information services representatives","","","","",""
"lower range value","30","2,534","2,901","3,517","3,576"
"upper range value","50","4,223","4,835","5,862","5,959"
"survey interviewers and statistical clerks","","","","",""
"lower range value","90","409","541","419","215"
"upper range value","100","454","602","466","239"
"mathematicians, statisticians and actuaries","","","","",""
"lower range value","20","165","325","398","930"
"upper range value","30","248","488","597","1,395"
"economists and economic policy researchers and analysts","","","","",""
"lower range value","20","238","374","555","790"
"upper range value","30","357","562","832","1,184"
"social policy researchers, consultants and program officers","","","","",""
"lower range value","20","338","505","672","667"
"upper range value","30","507","757","1,008","1,000"
"","percent","percent","percent","percent","percent"
"annual growth rate","","","","",""
"lower range value","..","..","2.2","3.4","1.8"
"upper range value","..","..","2.2","4.4","1.9"
