"","female spouses of economic immigrant principal applicants","married women in the family class"
"","percent","percent"
"percent employed at some point during the year","73.8","65.8"
"percent employed full time, full year","37.4","29.9"
"percent employed mostly full time, conditional on being employed","75.7","74.0"
"","dollars","dollars"
"average weekly employment income","613","490"
"average weekly employment income, conditional on being employed","829","742"
"","percent","percent"
"percent of university educated working in occupations not requiring a university education","61.9","61.6"
"occupation","",""
"management","7.8","6.7"
"administrative","23.7","19.8"
"natural and applied sciences","8.7","3.7"
"health","11.0","9.9"
"education and social services","16.5","13.5"
"art, culture, recreation and sport","2.4","2.4"
"sales and services","23.3","31.5"
"construction and transport trades","1.1","1.9"
"agriculture and natural resources","0.3","1.7"
"manufacturing, processing and labour","5.4","8.8"
"total","100.0","100.0"
