"","male workers","female workers","gender earnings gap"
"","column 1","column 2","column 3"
"","2012 constant dollars","2012 constant dollars","ratio"
"total","72,556","52,001","0.72"
"by age group","","",""
"25 to 29","50,664","40,020","0.79"
"30 to 39","66,506","49,264","0.74"
"40 to 49","82,470","57,215","0.69"
"50 to 54","85,400","56,597","0.66"
"by marital status","","",""
"union","80,507","54,288","0.67"
"alone","57,421","48,273","0.84"
"by family status","","",""
"without children","70,721","51,923","0.73"
"with children","85,539","52,334","0.61"
