"year","team","games","games","receiving","receiving","receiving","receiving","receiving","punt returns","punt returns","punt returns","punt returns","punt returns","kick returns","kick returns","kick returns","kick returns","kick returns","fumbles","fumbles"
"year","team","gp","gs","rec","yds","lng","avg","td","pr","yds","avg","lng","td","kr","yds","avg","lng","td","fum","lost"
"2010","dal","12","2","45","561","46","12.5","6","15","215","14.3","93t","2","12","293","24.4","43","0","1","1"
"2011","dal","15","13","63","928","50t","14.7","9","15","103","6.9","20","0","3","55","18.3","26","0","3","1"
"2012","dal","16","14","92","1,382","85t","15.0","12","12","66","5.5","44","0","0","0","0.0","0","0","5","2"
"2013","dal","16","16","93","1,233","79","13.3","13","0","0","0.0","0","0","0","0","0.0","0","0","3","1"
"2014","dal","16","16","88","1,320","68t","15.0","16","0","0","0.0","0","0","0","0","0.0","0","0","0","0"
"2015","dal","9","9","31","401","51","12.9","3","0","0","0.0","0","0","0","0","0.0","0","0","0","0"
"2016","dal","13","13","50","796","56","15.9","8","0","0","0.0","0","0","0","0","0.0","0","0","1","1"
"2017","dal","16","16","69","838","50","12.1","6","0","0","0.0","0","0","0","0","0.0","0","0","1","1"
"2018","no","0","0","0","0","0","0.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0"
"career","career","113","99","531","7,459","85","14.0","73","42","384","9.1","93","2","15","348","23.2","43","0","14","7"
