"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2005","atlanta falcons","16","8","29","446","15.4","54","3","4","12","3.0","16","-","1","1"
"2006","atlanta falcons","16","5","30","506","16.9","55","0","-","-","-","-","-","1","1"
"2007","atlanta falcons","16","15","83","1,202","14.5","69","6","1","2","2.0","2","-","3","2"
"2008","atlanta falcons","16","15","88","1,382","15.7","70","7","2","4","2.0","2","-","1","1"
"2009","atlanta falcons","16","16","85","1,153","13.6","90","11","1","2","2.0","2","-","1","0"
"2010","atlanta falcons","16","16","115","1,389","12.1","46","10","1","3","3.0","3","-","1","1"
"2011","atlanta falcons","16","16","100","1,296","13.0","43","8","-","-","-","-","-","1","1"
"2012","atlanta falcons","16","15","92","1,351","14.7","59","7","-","-","-","-","-","1","0"
"2013","atlanta falcons","13","13","63","711","11.3","39","3","-","-","-","-","-","2","1"
"2014","atlanta falcons","14","14","80","921","11.5","39","7","-","-","-","-","-","3","1"
"2015","atlanta falcons","16","16","43","506","11.8","25","1","-","-","-","-","-","1","1"
"none","total","171","149","808","10,863","13.4","90","63","9","19","2.1","16","-","14","8"
