"recommendations met","ages 5 to 17","ages 5 to 17","ages 5 to 17","ages 5 to 11","ages 5 to 11","ages 5 to 11","ages 12 to 17","ages 12 to 17","ages 12 to 17"
"recommendations met","total","boys","girls","total","boys","girls","total","boys","girls"
"recommendations met","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"none","10.7","9.6","11.9","4.2","4.1","4.4","17.1","15.0","19.4"
"sleep duration","75.3","77.2","73.3","82.6","82.7","82.4","68.1","71.7","64.3"
"physical activity","36.0","46.8","24.6","47.6","59.6","35.0","24.4","34.1","14.1"
"screen time","49.3","46.7","52.0","70.6","70.1","71.2","28.1","23.6","32.8"
"sleep duration and physical activity","28.1","37.4","18.2","40.5","50.9","29.6","15.7","24.2","6.8"
"sleep duration and screen time","40.0","39.1","41.0","59.5","59.1","60.0","20.6","19.3","21.9"
"physical activity and screen time","20.7","26.6","14.4","34.6","43.8","25.0","6.8","9.7","3.8"
"all three","17.5","22.9","11.8","29.6","37.3","21.6","5.5","8.7","2.0"
