"sector","2008","2009","2010","2011","2012","2013a"
"","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"all performing sectors","406952","405136","408197","427833","435347","456095"
"business","290680","282393","278977","294092","302251","322528"
"federal government","45649","47363","49955","52668","51318","49859"
"federal intramuralb","29839","30560","31970","34950","34017","33026"
"ffrdcs","15810","16804","17985","17718","17301","16833"
"nonfederal government","343","405","490","493","468","467"
"universities and colleges","53917","56972","60374","62446","63284","64680"
"other nonprofit organizationsc","16363","18002","18401","18134","18026","18561"
"all funding sources","406952","405136","408197","427833","435347","456095"
"business","258131","246770","248314","266606","275892","297279"
"federal government","119113","127180","127559","128039","124956","121808"
"nonfederal government","4257","4287","4287","4355","4105","4113"
"universities and colleges","11640","11917","12105","12951","14136","15240"
"other nonprofit organizationsc","13811","14983","15932","15882","16258","17655"
"","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions","constant 2009 $millions"
"all performing sectors","410043","405136","403270","414122","413961","427323"
"business","292888","282393","275610","284667","287403","302182"
"federal government","45995","47363","49352","50981","48797","46714"
"federal intramuralb","30066","30560","31584","33830","32346","30943"
"ffrdcs","15930","16804","17768","17150","16451","15771"
"nonfederal government","345","405","484","477","445","438"
"universities and colleges","54327","56972","59645","60445","60176","60600"
"other nonprofit organizationsc","16487","18002","18179","17552","17141","17390"
"all funding sources","410043","405136","403270","414122","413961","427323"
"business","260092","246770","245317","258062","262339","278525"
"federal government","120017","127180","126019","123936","118817","114124"
"nonfederal government","4289","4287","4235","4216","3904","3853"
"universities and colleges","11728","11917","11959","12536","13442","14278"
"other nonprofit organizationsc","13916","14983","15739","15373","15459","16542"
