"","type of diploma in 2016","type of diploma in 2016","type of diploma in 2016","type of diploma in 2016","type of diploma in 2016","type of diploma in 2016"
"","at least a high school diploma","at least a high school diploma","postsecondary certificate, diploma or degree","postsecondary certificate, diploma or degree","university degree","university degree"
"","black","other","black","other","black","other"
"","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"men","89","90","51","62","17","26"
"women","95","94","69","75","34","41"
"parents' place of birth","","","","","",""
"canada","87","91","55","67","23","29"
"other countries","92","96","62","73","26","44"
"parents' highest level of education","","","","","",""
"high school diploma or less","85","86","54","55","17","18"
"postsecondary diploma below the bachelor level","92","92","58","68","21","27"
"bachelor's degree or higher","97","97","75","81","47","57"
