"","basket weight at link month","average rate of out of stock product offerings","average rate of out of stock product offerings","average rate of temporarily closed outlets","average rate of temporarily closed outlets","average rate of prices received as scheduled","average rate of prices received as scheduled"
"","basket weight at link month","average rate of out of stock product offerings","average rate of out of stock product offerings","average rate of temporarily closed outlets","average rate of temporarily closed outlets","average rate of prices received as scheduled","average rate of prices received as scheduled"
"","basket weight at link month","april","april","april","april","april","april"
"","basket weight at link month","2020","2019","2020","2019","2020","2019"
"total","100","13.9","4.4","3.2","0.3","82.9","95.3"
"food and non-alcoholic beverages","16.48","11.3","1.8","1.3","0.1","87.5","98.1"
"shelter","27.36","9.0","2.4","5.2","0.9","85.7","96.7"
"household operations, furnishings and equipment","12.8","20.2","6.2","1.9","0.2","77.9","93.6"
"clothing and footwear","5.17","15.1","14.1","9.0","0.4","75.9","85.4"
"transportation","19.95","1.8","0.9","7.6","1.4","90.6","97.7"
"health and personal care","4.79","28.6","3.0","6.4","0.1","65","96.9"
"recreation, education and reading","10.24","14.8","5.7","5.7","0.5","79.5","93.7"
"alcoholic beverages, tobacco products and recreational cannabis","3.21","9.3","1.9","1.1","2.8","89.6","95.3"
