"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"charlton athletic","1965-66","second division","3","0","0","0","0","0","3","0"
"exeter city","1965-66","third division","17","0","0","0","0","0","17","0"
"exeter city","1966-67","fourth division","38","1","1","0","4","2","43","3"
"exeter city","total","total","55","1","1","0","4","2","60","3"
"lincoln city","1967-68","fourth division","46","3","1","0","5","0","52","3"
"lincoln city","1968-69","fourth division","43","3","4","0","2","0","49","3"
"lincoln city","1969-70","fourth division","28","3","0","0","1","0","29","3"
"lincoln city","1970-71","fourth division","44","1","5","0","3","0","52","1"
"lincoln city","total","total","161","10","10","0","11","0","182","10"
"mansfield town","1971-72","third division","7","0","0","0","2","0","9","0"
"port vale","1971-72","third division","19","1","0","0","0","0","19","1"
"port vale","1972-73","third division","1","0","0","0","0","0","1","0"
"port vale","total","total","20","1","0","0","0","0","20","1"
"colchester united","1972-73","fourth division","21","1","0","0","0","0","21","1"
"colchester united","1973-74","fourth division","46","1","1","1","1","0","48","2"
"colchester united","1974-75","third division","41","2","2","0","6","0","49","2"
"colchester united","total","total","108","4","3","1","7","0","118","5"
"career total","career total","career total","354","16","14","1","24","2","392","19"
