"","percent"
"total","30"
"sex",""
"male","28"
"female","32"
"age",""
"15 to 34","25"
"35 to 64","34"
"65 and older","28"
"province of residence",""
"newfoundland and labrador","24"
"prince edward island","22"
"nova scotia","26"
"new brunswick","26"
"quebec","31"
"ontario","33"
"manitoba","25"
"saskatchewan","22"
"alberta","27"
"british columbia","30"
"country of birth",""
"outside canada","38"
"canada","28"
"household size",""
"one","26"
"two","29"
"three","34"
"four","27"
"five or more","35"
"weeks employed in the past 12 months",""
"none","30"
"1 to 17","24"
"18 to 34","22"
"35 to 51","30"
"52","33"
"total household income in 2017",""
"less than $20,000","29"
"$20,000 to $39,999","32"
"$40,000 to $59,999","33"
"$60,000 to $79,999","32"
"$80,000 to $99,999","32"
"$100,000 to $119,999","26"
"$120,000 or more","30"
