"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke","1888-89","football league","1","0","0","0","1","0"
"stoke","1889-90","football league","12","2","4","0","16","2"
"stoke","1890-91","football alliance","17","11","0","0","17","11"
"stoke","total","total","30","13","4","0","34","13"
"wolverhampton wanderers","1891-92","football league","24","5","4","4","28","9"
"wolverhampton wanderers","1892-93","first division","13","1","0","0","13","1"
"wolverhampton wanderers","total","total","37","6","4","4","43","10"
"stoke","1892-93","first division","4","0","0","0","4","0"
"southampton st mary's","1894-95","southern league","15","6","4","6","19","12"
"southampton st mary's","1895-96","southern league","18","5","5","0","23","5"
"southampton st mary's","total","total","33","11","9","6","42","17"
"career total","career total","career total","104","30","17","10","123","40"
