"team","from","to","record","record","record","record","record","record","record","record","record"
"team","from","to","m","w","d","l","gf","ga","gd","win %","ref"
"reggiana","1 july 1995","30 june 1996","41","17","14","10","45","36","+9","41.46",""
"parma","1 july 1996","30 june 1998","87","42","27","18","124","85","+39","48.28",""
"juventus","9 february 1999","17 june 2001","114","63","33","18","185","101","+84","55.26",""
"milan","6 november 2001","31 may 2009","423","238","101","84","690","357","+333","56.26",""
"chelsea","1 july 2009","22 may 2011","109","67","20","22","241","94","+147","61.47",""
"paris st. germain","30 december 2011","25 june 2013","77","49","19","9","153","64","+89","63.64",""
"real madrid","25 june 2013","25 may 2015","119","89","14","16","323","103","+220","74.79",""
"bayern munich","1 july 2016","28 september 2017","60","42","9","9","156","50","+106","70.00",""
"napoli","23 may 2018","present","48","27","10","11","82","44","+38","56.25",""
"total","total","total","1,078","634","247","197","1,999","934","+1065","58.81","-"
