"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"burnley","1996-97","second division","9","0","2","0","0","0","none","none","11","0"
"burnley","1997-98","second division","24","4","0","0","2","0","3","1","29","5"
"burnley","1998-99","second division","34","5","1","0","2","0","none","none","37","5"
"burnley","1999-2000","second division","41","3","4","0","2","0","1","0","48","3"
"burnley","2000-01","first division","34","3","2","0","3","0","none","none","39","3"
"burnley","2000-02","first division","37","9","2","1","1","0","none","none","38","5"
"burnley","2000-03","first division","33","5","4","2","3","0","none","none","40","7"
"burnley","2000-04","first division","34","3","2","0","2","0","none","none","38","3"
"burnley","total","total","246","32","17","3","15","0","4","0","282","35"
"reading","2002-03","first division","6","1","0","0","0","0","1","0","7","1"
"bolton wanderers","2003-04","premier league","4","0","0","0","0","0","none","none","4","0"
"reading","2004-05","championship","35","0","3","0","1","0","none","none","39","0"
"reading","2005-06","championship","35","5","1","0","2","0","none","none","38","5"
"reading","2006-07","premier league","24","0","2","0","2","0","none","none","28","0"
"reading","2007-08","premier league","2","0","0","0","0","0","none","none","2","0"
"reading","total","total","96","5","6","0","5","0","0","0","107","5"
"portsmouth","2008-09","premier league","5","0","0","0","0","0","3","0","8","0"
"reading","2008-09","championship","8","0","0","0","0","0","1","0","9","0"
"sheffield united","2009-10","championship","16","0","1","0","1","0","none","none","18","0"
"aldershot town","2010-11","league two","14","1","2","0","0","0","none","none","16","1"
"wrexham","2011-12","conference premier","17","0","2","0","none","none","1","0","20","0"
"wrexham","2012-13","conference premier","18","1","0","0","none","none","4","0","22","1"
"wrexham","total","total","35","1","2","0","none","none","5","0","42","1"
"career total","career total","career total","430","40","28","3","21","0","14","0","493","43"
