"team","year","national league","national league","national league","championship","championship","total","total"
"team","year","division","apps","score","apps","score","apps","score"
"kilkenny","1999","division 1b","7","2-42","4","1-24","11","3-66"
"kilkenny","2000","division 1b","6","2-39","4","2-21","10","4-60"
"kilkenny","2001","division 1b","5","3-16","3","1-19","8","4-35"
"kilkenny","2002","division 1a","7","3-33","4","1-33","11","4-66"
"kilkenny","2003","division 1a","7","4-53","4","3-25","11","7-78"
"kilkenny","2004","division 1a","6","3-32","7","6-45","13","9-77"
"kilkenny","2005","division 1","5","4-22","4","3-37","9","7-59"
"kilkenny","2006","division 1","2","3-9","5","2-47","7","5-56"
"kilkenny","2007","division 1","1","0-12","5","1-45","6","1-57"
"kilkenny","2008","division 1","0","0-00","4","1-37","4","1-37"
"kilkenny","2009","division 1","4","1-29","4","2-38","8","3-67"
"kilkenny","2010","division 1","0","0-00","4","1-22","4","1-22"
"kilkenny","2011","division 1","0","0-00","4","1-32","4","1-32"
"kilkenny","2012","division 1a","0","0-00","6","3-56","6","3-56"
"kilkenny","2013","division 1a","0","0-00","3","0-00","3","0-00"
"kilkenny","2014","division 1a","7","1-28","6","1-4","13","1-32"
"total","total","total","57","26-315","71","28-485","128","55-800"
